PRODUCT_NUMBER,INTRODUCTION_DATE,PRODUCT_TYPE_CODE,PRODUCTION_COST,MARGIN,PRODUCT_IMAGE,LANGUAGE,PRODUCT_NAME,DESCRIPTION
11,2011-02-15,2.0,250.0,0.28,P11CE1TN2.jpg,EN,Star Lite,"A perfect tent for biking and hiking trips, compact and very light.  Features three shock cord aluminum poles, and three large mesh windows.  Packed size: 15 x 40 cm. Weight: 0.5 kg."
12,2013-03-05,2.0,0.0,0.23,P12CE1TN2.jpg,EN,"Four pole geodesic dome mountain tent that comfortably fits two to three people. 10 mm aluminum poles, mesh pole sleeves and taped seams.  Packed size: 22 x 63 cm. Weight: 4.8 kg.",0.00
13,2011-02-15,2.0,392.57000732421875,0.25,P13CE1TN2.jpg,EN,Star Gazer 2,The Star Gazer 2 is the Great Outdoor's most versatile tent.  It is a large two-person tent that is both durable and light weight.  Packed size: 18 x 70 cm. Weight: 2.6 kg.
14,2013-03-05,2.0,476.0,0.2,P14CE1TN2.jpg,EN,Star Gazer 3,"The Star Gazer 3 features a water proof fly, mesh window and two doors for good ventilation.  Packed size: 20 x 70 cm. Weight: 5.3 kg."
15,2013-05-03,2.0,490.0,0.33,,EN,Star Gazer 6,"Massive cabin tent has ample room for six people. Mesh door and vent, T-style door.  Four side windows with storm flaps and three carry bags for tent and poles."
16,2013-03-05,2.0,1.0,0.5,P16CE1TN2.jpg,EN,Star Peg,"A single tent peg made of heavy-duty plated steel. Long enough even for hard, rocky ground. Length: 25 cm"
17,2013-03-05,3.0,60.0,0.28,P17CE1SB3.jpg,EN,Hibernator Lite,The Hibernator Lite is the perfect summer sleeping bag.  Light weight and comfortable down to 10░C.  The rectangular shape allows for easy pairing.  Weight with stuff sack: 1.0 kg.
18,2011-02-15,3.0,86.0,0.33,The Hibernator is a three-season sleeping bag. The rectangular shape allows for easy pairing. Nylon shell material.  8 cm loft.  Comfortable down to 0░C.  One size fits up to 195 cm.,EN,Hibernator,None
19,2016-10-26,3.0,150.0,0.37,P19CE1SB3.jpg,EN,Hibernator Extreme,"The Hibernator Extreme has all the features you need for four-season comfort.  Comfortable from -18░ to 9░C. Silk comfort lining, nylon shell. Fits users to 195 cm, stuff sack included."
20,2013-03-05,3.0,78.55000305175781,.28,P20CE1SB3.jpg,EN,,Mattress is made of extra-thick foam. Mesh stuff sack included for easy carrying and storage. Repair kit included.
21,2011-02-15,3.0,29.170000076293945,0.17,P21CE1SB3.jpg,EN,Hibernator Pad,Warms up quickly for snow camping comfort. The Hibernator Pad will resist cracking in temperatures as low as -30░C.
22,2011-02-15,3.0,10.0,0.33,P22CE1SB3.jpg,EN,Hibernator Pillow,"Camp pillow is filled with soft, luxurious fibers for maximum compactness and resiliency. Covered with soft cotton on one side and soft flannel on the other."
23,2013-03-05,3.0,65.33000183105469,0.33,P23CE1SB3.jpg,EN,Hibernator Camp Cot,Aluminum frame camp cot that is lightweight and durable.  Size: 100 x 225 x 50 cm.  Weight: 7 kg.
24,2013-03-05,4.0,62.5,0.17,P24CE1PK4.jpg,EN,Canyon Mule Climber Backpack,"This pack is perfect for day trips and short hikes. Also great for students.  Separate front compartment, multi-layered interior organizer, 2 cm waist belt, 32,000 cu. cm."
25,2011-02-15,4.0,166.66000366210938,,P25CE1PK4.jpg,EN,Canyon Mule Weekender Backpack,"A weekend getaway requires this pack.  It features a large front compression pocket, harness and waist belt, foam molded back panel, vinyl covered gear loops.  50,000 cu. cm."
26,2011-02-15,4.0,213.3300018310547,0.33,P26CE1PK4.jpg,EN,Canyon Mule Journey Backpack,"Set of three packs: handlebar pack, front pack and rear pack.  Designed to fit most mountain bikes.  Includes mounting hardware.  Total volume: 66,000 cu. cm."
27,2013-03-05,4.0,238.8800048828125,0.43,P27CE1PK4.jpg,EN,Canyon Mule Extreme Backpack,"Perfect for long back country trips, this pack features an expandable front pocket, includes a large sleeping bag compartment, padded shoulder harness, back and waist belt. 90,000 cu. cm."
28,2011-02-15,,24.0,0.2,None,EN,Canyon Mule Cooler,"A durable plastic cooler with hinged top, perfect for storing small items. Size:100 x 50 x 50 cm."
29,2013-03-05,4.0,41.18000030517578,0.4,P29CE1PK4.jpg,EN,Canyon Mule Carryall,"This pack has a large capacity, perfect for carrying all your camping gear.  Solid metal zipper and leather bottom."
30,2013-03-05,5.0,6.75,0.5,P30CE1LT5.jpg,EN,None,"Lightweight flashlight made from aircraft aluminum. Focusable beam, tail cap push button allows for single-handed operation. Uses two AA batteries, included."
31,,5.0,7.5,,P31CE1LT5.jpg,EN,Firefly Mapreader,"Clip-on flashlight for map or book reading. Also comes with flexible fiber optic extension. Lightweight, uses only one AA battery, included."
32,2011-02-15,5.0,0.0,0.33,P32CE1LT5.jpg,EN,Firefly 2,0.00
33,2013-03-05,5.0,18.0,0.33,P33CE1LT5.jpg,EN,"Made of solid plastic construction, adjustable beam (flood to spot), Krypton bulb.  Uses four D batteries, included.",Firefly 4
34,2016-10-26,5.0,28.1200008392334,0.37,P34CE1LT5.jpg,EN,Firefly Extreme,"The Firefly Extreme is under 15 cm long yet produces 7,000 candlepower using two lithium batteries and a Xenon bulb. Shock and water resistant. Weight: 135 g."
35,2016-10-26,5.0,0.0,0.25,P35CE1LT5.jpg,EN,Firefly Multi-light,"This light can be used as either a flashlight or as a lamp. Uses two C batteries, included.  Burn time 7-8 hours. Water-resistant."
36,2011-02-15,5.0,18.049999237060547,0.4,P36CE1LT5.jpg,EN,EverGlow Single,Light output approximates a 100 W bulb. Single mantle regulated. Porcelain dome. Uses 0.5 liter  propane cylinder (not included).
37,2013-03-05,5.0,28.75,0.37,P37CE1LT5.jpg,EN,EverGlow Double,Light output approximates a 175 W bulb. Double mantle regulated. Porcelain dome. Uses 0.5 liter propane cylinder (not included).
38,2013-03-05,5.0,20.0,0.33,P38CE1LT5.jpg,EN,EverGlow Kerosene,"One of the most dependable sources of light in an emergency, this lantern is always ready and doesn't need to be recharged. Cotton wick. Height: 30 cm."
39,2013-03-05,5.0,40.630001068115234,0.37,P39CE1LT5.jpg,EN,EverGlow Butane,"Adjustable brightness control with auto ignition. Safely stores in its own protective case.  Approximate burn time 5 hours on one 0.25 liter butane canister, included."
40,2011-02-15,5.0,17.969999313354492,0.28,P40CE1LT5.jpg,EN,EverGlow Lamp,"Perfect for in your tent, this lamp comes with a 6V battery.  Complete with shade and hanging hook."
41,2021-01-10,5.0,0.0,0.23,P41CE1LT5.jpg,EN,Flicker Lantern,0.00
42,2021-01-10,6.0,106.66000366210938,,P42ME2RP6.jpg,EN,Husky Rope 50,11 mm diameter standard rope. Length: 50 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
43,2021-01-10,6.0,126.66000366210938,0.33,P42ME2RP6.jpg,EN,Husky Rope 60,11 mm diameter standard rope. Length: 60 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
44,2021-01-10,6.0,231.11000061035156,0.33,P44ME2RP6.jpg,EN,Husky Rope 100,11 mm diameter standard rope. Length: 100 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
45,2021-01-10,6.0,383.32000732421875,0.33,P44ME2RP6.jpg,EN,Husky Rope 200,11 mm diameter standard rope. Length: 200 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.
46,2021-01-10,7.0,52.86000061035156,0.28,P46ME2SY7.jpg,EN,Granite Climbing Helmet,"This UIAA approved helmet fits adults and kids, suitable for rock and alpine use."
47,,7.0,44.83000183105469,,P47ME2SY7.jpg,EN,Husky Harness,One size fits all due to extensive waist belt adjustment and fully adjustable leg loops.
48,2021-01-10,7.0,55.0,0.5,P47ME2SY7.jpg,EN,,One size fits all. Top of the range fully adjustable technical harness. Ultra high strength belay loop rated in excess of 30kN. Rear haul loop rated to 10kN.
49,,7.0,16.5,0.5,P49ME2SY7.jpg,EN,Granite Signal Mirror,10-1-2021
50,2021-01-10,8.0,2.0,0.5,P50ME2CA8.jpg,EN,Granite Carabiner,Made from 12 mm rod stock aluminum and a radius suitable for almost any rope size. Locks tight with almost any belay/rappel combination. Individually tested.
51,2021-01-10,9.0,35.0,0.5,P51ME2CA8.jpg,EN,Granite Belay,The Granite Belay is an ingenious single rope belay device that uses carabiner movement to brake the rope.
52,2021-01-10,8.0,19.0,0.5,P52ME2CA8.jpg,EN,Granite Pulley,None
88,2011-02-15,15.0,0.0,0.7,P86OP4IR15.jpg,EN,BugShield Lotion Lite,"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Contains 8.75% active ingredient for a lighter application. Odorless cream. 100 ml."
89,,15.0,2.5,0.63,P86OP4IR15.jpg,EN,BugShield Lotion,"Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Odorless cream. 100 ml."
90,2011-02-15,15.0,2.5,0.63,P86OP4IR15.jpg,EN,BugShield Extreme,"Highest amount of the active ingredient, 38%, for up to 10 hours of protection. Repels black flies, ticks, mosquitoes, deer flies and stable flies. Clear, odorless formula. 100 ml."
91,2011-02-15,16.0,2.0,0.6,P91OP4SS16.jpg,EN,Sun Blocker,"Sun Blocker is waterproof and lasts up to eight hours. It contains natural skin conditioners and moisturizers, as well as titanium dioxide for the ultimate level of protection."
92,2011-02-15,16.0,2.0,0.6,P91OP4SS16.jpg,EN,Sun Shelter Stick,"Easy to apply to your nose, lips, ears and other sensitive areas. Provides long-lasting protection from sun, wind and water to keep your skin soft and moist."
93,2011-02-15,16.0,2.0,0.6,P91OP4SS16.jpg,EN,Sun Shelter 15,SPF 15 protects against all harmful rays.
94,2011-02-15,16.0,2.0,0.6,P91OP4SS16.jpg,EN,Sun Shelter 30,SPF 30 provides maximum protection and is long-lasting.
95,2011-02-15,16.0,3.0,0.5,P91OP4SS16.jpg,EN,Sun Shield,"PABA free sunscreen, SPF 30, poison oak and ivy protectant, waterproof, insect repellent against fleas, mosquitoes, deer ticks, gnats.  Moisturizer contains Vitamin E and Lanolin."
96,2011-02-15,17.0,16.43000030517578,0.28,P96OP4FA17.jpg,EN,Compact Relief Kit,"A personal first aid kit is recommended for every outdoor hiker or camper. Contains basic wound management, advanced infectious control, and more. Size: 17 x 10 x 7 cm. Weight: 0.3 kg."
97,,17.0,25.0,0.28,P96OP4FA17.jpg,EN,Deluxe Family Relief Kit,"A complete medical kit suitable for families with children.  Contains cough syrup, oral rehydration salts, advanced wound management, and more.  Size: 22 x 12 x 7 cm. Weight: 0.6 kg."
98,2011-02-15,17.0,3.0,0.5,P98OP4FA17.jpg,EN,Calamine Relief,"Use the Calamine Relief for allergic skin reactions, helps combat itching and swelling."
99,2011-02-15,17.0,2.0,0.6,P99OP4FA17.jpg,EN,None,"Perfect for minor burns and sunburn, the aloe vera provides quick relief."
100,2011-02-15,17.0,3.0,0.5,P100OP4FA17.jpg,EN,Insect Bite Relief,The Insect Bite Relief helps the itching and swelling caused by most insect bites.
101,2019-12-15,18.0,305.5400085449219,0.43,P101GE5IR18.jpg,EN,Hailstorm Steel Irons,Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.
102,2019-12-10,,380.95001220703125,0.51,None,EN,Hailstorm Titanium Irons,Made entirely of pure titanium. The ultimate in golf club technology. Lightweight graphite shaft and light overall weight. Includes 3 iron to Pitching Wedge.
103,2019-12-10,18.0,277.760009765625,0.43,P101GE5IR18.jpg,EN,Lady Hailstorm Steel Irons,Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.
104,,18.0,333.32000732421875,0.51,P102GE5IR18.jpg,EN,NaT,Lady Hailstorm Titanium Irons
105,2019-12-27,19.0,555.9000244140625,0.55,P105GE5WD19.jpg,EN,None,"Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel.  Includes 3 Wood, 5 Wood and 12 degree driver."
106,2019-12-05,19.0,536.0900268554688,0.43,P106GE5WD19.jpg,EN,Hailstorm Steel Woods Set,"These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver."
107,2020-01-13,19.0,509.07000732421875,0.55,P105GE5WD19.jpg,EN,Lady Hailstorm Titanium Woods Set,"Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel. Includes 3 Wood, 5 Wood and 12 degree driver."
108,2019-12-27,19.0,472.2200012207031,0.43,None,EN,Lady Hailstorm Steel Woods Set,"These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver."
109,2019-12-10,20.0,35.0,0.43,P109GE5PT20.jpg,EN,Course Pro Putter,High quality putter is cast  from a soft yellow brass alloy to give the putter its uniquely soft feel at impact.
110,,20.0,60.0,0.5,P110GE5PT20.jpg,EN,NaT,This premium putter has copper mixed with lightweight aluminum for a smooth touch.
111,2019-12-15,20.0,81.80000305175781,.55,,EN,Blue Steel Max Putter,Putter head is composed from a single piece of the softest carbon steel for optimum feel.
112,2020-01-10,21.0,6.0,0.33,None,EN,Course Pro Golf and Tee Set,Set includes two premium golf ball and an assortment of wooden golf tees.
